feature,shap_mean_abs,model_importance,abs_weight
cat__checking_status_no checking,0.06563966350117252,0.08511457939788215,0.13284827878235628
cat__checking_status_<0,0.04260070493540507,0.04270313405447763,0.08797865402618575
num__duration,0.04123138181505873,0.08373828396290223,
cat__savings_status_<100,0.027766799903542586,0.027463216621032228,0.05611178428211548
cat__credit_history_critical/other existing credit,0.024095164494935366,0.028980871335634113,0.0533855395982304
num__credit_amount,0.02084895695107588,0.09764477822270505,0.029050931771667725
num__installment_commitment,0.013094405196795477,0.035064710272744076,
cat__property_magnitude_real estate,0.012279039356951854,0.018661567256657734,0.029251130714316
cat__other_payment_plans_none,0.012072953217196787,0.017318941290756038,
cat__other_payment_plans_bank,0.011902112988139028,0.017646331497537117,0.04082935137410521
cat__employment_<1,0.011311526762748514,0.018748233330501858,0.04640060728889179
num__age,0.010571906111912699,0.07046626134517177,
cat__personal_status_male single,0.009808654489196081,0.017813633791752916,
cat__property_magnitude_no known property,0.009804559562729565,0.013127511644834229,0.04159634372619218
cat__housing_own,0.009792623622943506,0.015868514752052466,
cat__checking_status_0<=X<200,0.009465052021348223,0.02082388234110106,0.0315364668980328
cat__purpose_radio/tv,0.008756490190145301,0.014965368357636155,
cat__savings_status_no known savings,0.008627504558278211,0.014795948961003875,0.03496677064590595
cat__purpose_new car,0.007563168760997711,0.013454045821671024,
cat__personal_status_female div/dep/mar,0.006003352966096349,0.014936983056099596,
cat__employment_4<=X<7,0.005920986320513806,0.011502143066495734,
cat__purpose_used car,0.005572439940252808,0.00929331493978903,0.03167591795891277
cat__housing_rent,0.005070618763970752,0.009390528475913127,
cat__own_telephone_none,0.004867359385669736,0.012198978042501746,
cat__own_telephone_yes,0.004563634560386612,0.012951106554091398,
cat__job_skilled,0.0036715301919752613,0.014049339273480533,
num__residence_since,0.003652288197409069,0.029100505656304548,
cat__other_parties_guarantor,0.0029748583790947134,0.0059402509798083414,
cat__credit_history_no credits/all paid,0.002865402412333768,0.005924933801519117,
num__existing_credits,0.002825656123811862,0.016521132305970177,
cat__employment_>=7,0.002774988303193335,0.010974617632908712,
cat__purpose_education,0.002768533245054243,0.006318679237236235,0.03292327724456565
cat__job_high qualif/self emp/mgmt,0.0027532377304408423,0.01070016257896805,
cat__credit_history_existing paid,0.0025470715937212104,0.013905727307865818,
cat__credit_history_all paid,0.002467260522954639,0.005836895166670384,0.03567712892951688
cat__purpose_furniture/equipment,0.0024333096461829824,0.011235120431378937,
cat__property_magnitude_car,0.0023536812255983137,0.013454091804697059,
cat__employment_1<=X<4,0.0023451668231806344,0.012859551055561927,
cat__savings_status_>=1000,0.0022142612362079815,0.005291472953380887,0.031449563419077994
cat__employment_unemployed,0.002065365591152987,0.004981438161791977,
cat__other_parties_none,0.002025118071807769,0.007412749148807143,
cat__credit_history_delayed previously,0.0018514491307250766,0.009391439851921996,
num__num_dependents,0.0018458194232594224,0.009811943932751994,
cat__job_unskilled resident,0.0017995986373340828,0.010235387695512289,
cat__property_magnitude_life insurance,0.001694779786965134,0.011053837242386622,
cat__savings_status_100<=X<500,0.0016915833912708811,0.007456157766708101,
cat__savings_status_500<=X<1000,0.0016704537601973794,0.004577185809144109,
cat__foreign_worker_yes,0.0016346426159474104,0.0032716315259503767,
cat__other_parties_co applicant,0.0016021527697500195,0.003564403791068333,
cat__foreign_worker_no,0.0015416187631124485,0.0035451779447934345,
cat__housing_for free,0.0012526310822715248,0.00613489464813225,
cat__checking_status_>=200,0.001170639212308572,0.007497235942905257,
cat__purpose_business,0.0011216947456906925,0.006988315356678486,
cat__personal_status_male div/sep,0.0010726426839159382,0.004082630269319196,
cat__personal_status_male mar/wid,0.0007049922386302833,0.005418365788207189,
cat__other_payment_plans_stores,0.0005041740954391589,0.003922655615538493,
cat__purpose_repairs,0.0002872718977033399,0.0017167192968075193,
cat__purpose_other,0.00016810884310692698,0.0004962260792172323,
cat__purpose_domestic appliance,8.083985008624947e-05,0.00042274266951665944,
cat__job_unemp/unskilled non res,7.329302772391202e-05,0.001180146446924264,
cat__purpose_retraining,7.815629241454757e-06,5.33664372222151e-05,
